"","country","continent","iso_alpha","iso_num","cntry_col","cntnt_col","iso2c","variable","measurement"
"275","Pakistan","Asia","PAK",586,"#540F60","#7F3B08","PK","air",58.2824187715197
"276","Panama","Americas","PAN",591,"#FDCF80","#313695","PA","air",11.4000543321554
"277","Papua New Guinea","Oceania",NA,NA,NA,NA,"PG","air",12.2944182563739
"278","Paraguay","Americas","PRY",600,"#FBA35B","#313695","PY","air",11.9090808488171
"279","Peru","Americas","PER",604,"#D73027","#276419","PE","air",24.786728048654
"280","Philippines","Asia","PHL",608,"#681F75","#276419","PH","air",18.0697989132741
"281","Poland","Europe","POL",616,"#468A1F","#A50026","PL","air",20.8778222190899
"282","Portugal","Europe","PRT",620,"#66A731","#A50026","PT","air",8.16075224791735
"283","Puerto Rico","Americas","PRI",630,"#FDBE70","#40004B","PR","air",8.34903333944518
"284","Qatar","Asia",NA,NA,NA,NA,"QA","air",91.1873279323164
"285","Romania","Europe","ROU",642,"#4B9020","#40004B","RO","air",14.6113401886611
"286","Russia","Europe",NA,NA,NA,NA,"RU","air",16.1602238064949
"287","Rwanda","Africa","RWA",646,"#E58C23","#276419","RW","air",43.2102171630293
"288","Samoa","Oceania",NA,NA,NA,NA,"WS","air",11.5480270054414
"289","Sao Tome and Principe","Africa","STP",678,"#FEE0B6","#A50026","ST","air",28.5395843568146
"290","Saudi Arabia","Asia","SAU",682,"#905EA1","#A50026","SA","air",87.9454466778152
"291","Senegal","Africa","SEN",686,"#D0730F","#A50026","SN","air",40.6958258953758
"292","Serbia","Europe","SRB",688,"#74B33A","#276419","RS","air",24.7263581904237
"293","Seychelles","Africa",NA,NA,NA,NA,"SC","air",20.1786493605547
"294","Sierra Leone","Africa","SLE",694,"#EC9936","#A50026","SL","air",21.6259466795766
"295","Singapore","Asia","SGP",702,"#CBB0D5","#276419","SG","air",19.0782564997534
"296","Slovak Republic","Europe","SVK",703,"#AAD875","#7F3B08","SK","air",17.5629113438527
"297","Slovenia","Europe","SVN",705,"#D9EFBB","#40004B","SI","air",16.0239799760869
"298","Solomon Islands","Oceania",NA,NA,NA,NA,"SB","air",11.8791218449166
"299","Somalia","Africa","SOM",706,"#E3881D","#40004B","SO","air",32.0345842282344
"300","South Africa","Africa","ZAF",710,"#8F4407","#313695","ZA","air",25.1022049863671
"301","South Sudan","Africa",NA,NA,NA,NA,"SS","air",45.5775055664158
"302","Spain","Europe","ESP",724,"#41831E","#7F3B08","ES","air",9.69792786284953
